scn_id,scn_cls,scn_sentence,reasoning,qid01,query01,ktype_num01,ktype01,ctype_num01,ctype01,qtype_num01,qtype01,qid02,query02,ktype_num02,ktype02,ctype_num02,ctype02,qtype_num02,qtype02,qid03,query03,ktype_num03,ktype03,ctype_num03,ctype03,qtype_num03,qtype03,qid04,query04,ktype_num04,ktype04,ctype_num04,ctype04,qtype_num04,qtype04,qid05,query05,ktype_num05,ktype05,ctype_num05,ctype05,qtype_num05,qtype05
017VML,0,A spoon is in the mailbox,"It's unclear why a spoon would be in the mailbox, a place typically reserved for letters and small packages.",017VMLQ01,Why is there a spoon in the mailbox?,9,Causality,2,Comprehension,10,Intention disclosure,017VMLQ02,Who could have put the spoon in the mailbox?,1,Identity,3,Operation,3,Concept completion,017VMLQ03,Is the spoon a part of a larger message or prank?,10,Intention,3,Operation,8,Interpretation,017VMLQ04,"What type of spoon is it - plastic, wooden, or metal?",3,Attributes,1,Knowledge,2,Case specification,017VMLQ05,Has anything else unusual been found in the mailbox recently?,7,Contents,3,Operation,3,Concept completion
01E8SK,1,A woman talks to her plants as if they can hear her,It's unclear how the woman believes that her plants can understand her speech.,01E8SKQ01,Does the woman believe her plants can understand her?,11,Internal state,4,Evaluation,1,Verification,01E8SKQ02,What kind of plants does she talk to?,3,Attributes,1,Knowledge,4,Feature specification,01E8SKQ03,What topics does she discuss with her plants?,7,Contents,1,Knowledge,3,Concept completion,01E8SKQ04,Does she talk to her plants in a specific language or tone?,3,Attributes,1,Knowledge,2,Case specification,01E8SKQ05,Are there any observable effects on the plants due to her talking?,9,Causality,3,Operation,11,Result account
01OC6H,1,A woman avoids making eye contact and fidgets with her hands while talking,It's unclear why the woman is avoiding eye contact and fidgeting with her hands while talking.,01OC6HQ01,Why is the woman avoiding eye contact?,11,Internal state,2,Comprehension,10,Intention disclosure,01OC6HQ02,What is causing her to fidget with her hands?,9,Causality,3,Operation,9,Cause elucidation,01OC6HQ03,Is there a specific person she is uncomfortable around?,1,Identity,3,Operation,2,Case specification,01OC6HQ04,What is the topic of the conversation?,7,Contents,1,Knowledge,3,Concept completion,01OC6HQ05,Is this behavior typical for her or is it an anomaly?,3,Attributes,3,Operation,1,Verification
01YX2J,2,"A dog, previously lackadaisical, now chases its tail with vigor","It's unclear why the dog, who was previously lackadaisical, is now chasing its tail with vigor.",01YX2JQ01,What caused the dog's sudden change in behavior?,9,Causality,3,Operation,9,Cause elucidation,01YX2JQ02,Is the dog's tail-chasing a sign of distress or excitement?,11,Internal state,4,Evaluation,2,Case specification,01YX2JQ03,Has there been any recent changes in the dog's environment or routine?,7,Contents,3,Operation,3,Concept completion,01YX2JQ04,Could the dog be reacting to a new diet or medication?,9,Causality,3,Operation,3,Concept completion,01YX2JQ05,Is the dog's increased activity level consistent or does it fluctuate?,4,Quantities,2,Comprehension,3,Concept completion
027ZBE,1,A neighbor paints their front door a different color every month,It's unclear why the neighbor paints their front door a different color every month.,027ZBEQ01,What motivates the neighbor to change their door color monthly?,10,Intention,4,Evaluation,10,Intention disclosure,027ZBEQ02,How does the community react to the neighbor's frequent color changes?,11,Internal state,2,Comprehension,11,Result account,027ZBEQ03,Does the neighbor follow a specific pattern or theme in their color choices?,8,Procedure,3,Operation,12,Method explication,027ZBEQ04,What type of paint does the neighbor use to ensure the door's durability?,3,Attributes,1,Knowledge,4,Feature specification,027ZBEQ05,Are there any local regulations or homeowner association rules regarding the frequent change of door color?,7,Contents,1,Knowledge,1,Verification
02WP6Z,0,A clock was ticking inside the toolbox,It's unclear why a clock would be ticking inside a toolbox.,02WP6ZQ01,What is the purpose of a ticking clock inside a toolbox?,10,Intention,3,Operation,10,Intention disclosure,02WP6ZQ02,Could the ticking sound be from a device other than a clock?,3,Attributes,3,Operation,2,Case specification,02WP6ZQ03,Is the toolbox owned by a person or left unattended?,1,Identity,2,Comprehension,2,Case specification,02WP6ZQ04,What is the current location of the toolbox?,5,Spatial layout,1,Knowledge,3,Concept completion,02WP6ZQ05,Are there any other items inside the toolbox?,7,Contents,1,Knowledge,3,Concept completion
03A9EO,1,"A man consistently double-checks that all the doors and windows in his house are locked, multiple times a day",It's unclear why the man feels the need to consistently double-check all the doors and windows in his house multiple times a day.,03A9EOQ01,What is the reason behind the man's obsessive checking of doors and windows?,9,Causality,2,Comprehension,9,Cause elucidation,03A9EOQ02,Does the man have any past experiences that might have led to this behavior?,10,Intention,1,Knowledge,10,Intention disclosure,03A9EOQ03,Is there a specific time of day when he checks the locks more frequently?,6,Temporal relation,3,Operation,3,Concept completion,03A9EOQ04,Does the man live in a high-crime area that might justify his actions?,3,Attributes,1,Knowledge,1,Verification,03A9EOQ05,Are there any other obsessive or compulsive behaviors that the man exhibits?,3,Attributes,3,Operation,4,Feature specification
03SBU2,0,A hairdryer is found inside a kitchen pot,"It's unclear why a hairdryer, which is typically used in a bathroom or bedroom, is found inside a kitchen pot, a place usually reserved for cooking utensils.",03SBU2Q01,Why is there a hairdryer in the kitchen pot?,7,Contents,2,Comprehension,10,Intention disclosure,03SBU2Q02,Is the hairdryer used for some unconventional cooking method?,8,Procedure,3,Operation,12,Method explication,03SBU2Q03,Could this be a prank or a mistake?,10,Intention,4,Evaluation,2,Case specification,03SBU2Q04,Is the pot used for storing items other than cooking utensils?,3,Attributes,3,Operation,4,Feature specification,03SBU2Q05,Does the owner of the hairdryer live in the same house where the kitchen pot is found?,1,Identity,1,Knowledge,1,Verification
049TSE,2,A faucet began to drip without any touch,It's unclear how the faucet began to drip without anyone touching it.,049TSEQ01,What caused the faucet to start dripping without any touch?,9,Causality,3,Operation,9,Cause elucidation,049TSEQ02,Is there a problem with the plumbing system?,3,Attributes,3,Operation,1,Verification,049TSEQ03,Could there be a pressure imbalance in the water supply?,9,Causality,3,Operation,2,Case specification,049TSEQ04,Is the faucet old or damaged?,3,Attributes,3,Operation,2,Case specification,049TSEQ05,Could the temperature changes have affected the faucet?,9,Causality,3,Operation,9,Cause elucidation
04O3YL,1,A tailor constantly sewing buttons in the wrong places.,"It's unclear why the tailor, who should be skilled in his craft, is constantly sewing buttons in the wrong places.",04O3YLQ01,Why is the tailor consistently sewing buttons in the wrong places?,9,Causality,3,Operation,10,Intention disclosure,04O3YLQ02,Is the tailor aware of his repeated mistakes?,10,Intention,2,Comprehension,1,Verification,04O3YLQ03,Does the tailor have any vision problems that could be causing this?,3,Attributes,3,Operation,3,Concept completion,04O3YLQ04,Are there any distractions in the tailor's environment contributing to the errors?,9,Causality,3,Operation,3,Concept completion,04O3YLQ05,What is the reaction of the customers to the misplaced buttons?,11,Internal state,4,Evaluation,11,Result account
054FGV,1,A passenger on a train decides to sit on the floor instead of an empty seat,It's unclear why the passenger chose to sit on the floor when there was an empty seat available.,054FGVQ01,Why did the passenger choose to sit on the floor instead of the empty seat?,10,Intention,2,Comprehension,10,Intention disclosure,054FGVQ02,Is there something wrong with the empty seat?,3,Attributes,3,Operation,1,Verification,054FGVQ03,What is the passenger's demeanor while sitting on the floor?,11,Internal state,2,Comprehension,4,Feature specification,054FGVQ04,Are there any other passengers reacting to this unusual behavior?,11,Internal state,3,Operation,11,Result account,054FGVQ05,Does the train staff intervene or allow the passenger to remain on the floor?,10,Intention,3,Operation,1,Verification
05MQC6,2,"A woman, once slow at typing, now hammers at the keyboard with remarkable speed","It's unclear how the woman, who was once slow at typing, suddenly became remarkably fast at it.",05MQC6Q01,What caused the woman's sudden improvement in typing speed?,9,Causality,3,Operation,9,Cause elucidation,05MQC6Q02,Is she typing for a specific purpose or just practicing?,10,Intention,2,Comprehension,2,Case specification,05MQC6Q03,What kind of keyboard is she using?,3,Attributes,1,Knowledge,4,Feature specification,05MQC6Q04,How does she feel about her newfound speed?,11,Internal state,4,Evaluation,10,Intention disclosure,05MQC6Q05,Has this change affected other aspects of her life?,7,Contents,3,Operation,11,Result account
06GO7F,1,A parent eats a meal alone at a noisy playground.,It's unclear why the parent is eating a meal alone at a noisy playground.,06GO7FQ01,Why is the parent eating alone at a playground?,10,Intention,2,Comprehension,10,Intention disclosure,06GO7FQ02,What is causing the noise at the playground?,9,Causality,3,Operation,9,Cause elucidation,06GO7FQ03,Does the parent have a child playing at the playground?,3,Attributes,3,Operation,1,Verification,06GO7FQ04,What meal is the parent eating?,3,Attributes,1,Knowledge,3,Concept completion,06GO7FQ05,Is the parent showing any signs of discomfort due to the noise?,11,Internal state,3,Operation,4,Feature specification
