scn_id,scn_sentence,scn_cls,model,temp
01E8SK,A woman talks to her plants as if they can hear her,1,gpt-3.5-turbo,1
01OC6H,A woman avoids making eye contact and fidgets with her hands while talking,1,gpt-3.5-turbo,1
027ZBE,A neighbor paints their front door a different color every month,1,gpt-3.5-turbo,1
03A9EO,"A man consistently double-checks that all the doors and windows in his house are locked, multiple times a day",1,gpt-3.5-turbo,1
03SBU2,A hairdryer is found inside a kitchen pot,0,gpt-4-0613,0.7
05MQC6,"A woman, once slow at typing, now hammers at the keyboard with remarkable speed",2,gpt-4-0613,1
079ETM,"An alarm clock, once set religiously every night, now collects dust unused",2,gpt-4-0613,1
07DFJ6,A pair of scissors is lying on the balcony railing,0,gpt-4-0613,0.7
08AS9K,A habitual early riser is seen sleeping in till noon,2,gpt-4-0613,1
08OL2H,"The vintage car, once a symbol of luxury, was covered in rust",2,gpt-4-0613,1
08X4EY,A dog leash is hanging on a clothes hanger,0,gpt-4-0613,0.7
09B8NJ,"A television remote is on the kitchen counter, next to the coffee machine",0,gpt-4-0613,0.7
0B6J3P,"A soccer ball is in the library, sitting quietly on a bookshelf",0,gpt-4-0613,0.7
0C2F5Q,"A teenager insists on wearing gloves at all times, even in warm weather",1,gpt-3.5-turbo,1
0G1V9J,A pillow is in the oven,0,gpt-4-0613,0.7
0GDK82,A hammer is lying on the pillow of the bed,0,gpt-4-0613,0.7
0I26RY,An employee takes long lunch breaks but finishes all their work on time,1,gpt-3.5-turbo,1
0J45IK,"A roommate always leaves the bathroom light on, even when they are not inside",1,gpt-3.5-turbo,1
0L62UT,A coworker always carries a pocket watch and checks it several times an hour,1,gpt-3.5-turbo,1
0L6GR8,"A car, always glistening clean, now wears a dull, dusty coat",2,gpt-4-0613,1
0L6Y9V,A man consistently loses his keys but never bothers to find a better place to keep them,1,gpt-3.5-turbo,1
0NS7Q5,A pair of glasses is on the flower pot,0,gpt-4-0613,0.7
0RG51B,A man parks his car far away from any other vehicles in the parking lot,1,gpt-3.5-turbo,1
0T1EG6,"A coworker eats the same sandwich for lunch every day, never trying anything new",1,gpt-3.5-turbo,1
0UM67E,The noisy street was eerily quiet,2,gpt-4-0613,1
0V68RD,"A man constantly taps his foot or clicks his pen, even when there is no apparent reason to be restless",1,gpt-3.5-turbo,1
0W46YU,"The teacher, known for her strictness, laughed heartily",2,gpt-4-0613,1
0WX2G1,"A teenager always wears sunglasses indoors, even when there is minimal light",1,gpt-3.5-turbo,1
0Y9A3G,"A wallet, once fat with money, is now sadly thin",2,gpt-4-0613,1
126YSH,A pillow is lying on the kitchen table,0,gpt-4-0613,0.7
12A4PX,A soccer ball is placed on a bookshelf,0,gpt-4-0613,0.7
13WYS9,A white picket fence had turned a faded grey,2,gpt-4-0613,1
18QW4T,"The garden, once overgrown, is now neatly manicured",2,gpt-4-0613,1
190SDX,"A bottle of red wine, kept for years, is now opened and half-empty.",2,gpt-4-0613,1
19KVF6,The television remote is found submerged in the fish tank,0,gpt-4-0613,0.7
1A8OP4,A subway train that faithfully arrived on time every day was late,2,gpt-4-0613,1
1AW97N,"Once barren, the garden now proliferated with various flora",2,gpt-4-0613,1
1BE24V,"An old pair of sneakers, once bright white, are now stained brown and tattered",2,gpt-4-0613,1
1EN58V,"A favorite book, once handled with care, now rests worn and creased from heavy use",2,gpt-4-0613,1
1F4G5C,"A woman walks into a cafe, orders a coffee, but immediately leaves without taking a sip",1,gpt-3.5-turbo,1
1GI7M0,A frying pan is in the mailbox,0,gpt-4-0613,0.7
1H86EN,"A laptop, typically loud with humming fans, now operates in near silence",2,gpt-4-0613,1
1J72RF,"A person always insists on paying for others, even when they protest",1,gpt-3.5-turbo,1
1M3QG5,A dog stands eagerly in front of a door,2,gpt-4-0613,1
1S49UP,A dilapidated building turned into a modern architectural marvel,2,gpt-4-0613,1
1SN9E6,An overgrown bush is now trimmed into an appealing shape,2,gpt-4-0613,1
1V29MW,A dish towel is lying on the computer keyboard,0,gpt-4-0613,0.7
1V5E3U,"A colleague always asks for advice, but never takes any of the suggestions",1,gpt-3.5-turbo,1
1WP2E8,Someone consistently brings up controversial topics in social gatherings,1,gpt-3.5-turbo,1
1WP3D4,"A student consistently arrives to class early, but never takes out their notebook or textbook",1,gpt-3.5-turbo,1
20EWU4,An empty wallet is filled with crisp banknotes,2,gpt-4-0613,1
20N1MR,A pair of slippers is sitting on the dashboard of the car.,0,gpt-4-0613,0.7
21ME7N,A pacing young man sits down abruptly,2,gpt-4-0613,1
234ZNI,A toothbrush is stuck in a pot of houseplant,0,gpt-4-0613,0.7
23N8MQ,A television remote is placed inside a flower pot,0,gpt-4-0613,0.7
24BW0N,"A baseball bat is in the middle of the classroom, resting on the teacher's desk",0,gpt-4-0613,0.7
24QD7I,"A parent always insists on cooking dinner, but the meals are always burned or undercooked",1,gpt-3.5-turbo,1
25F4GO,The same man found his once vibrant roses browning and wilting,2,gpt-4-0613,1
25MI1A,"A child, who used to balk at vegetables, now appreciates a plateful of greens",2,gpt-4-0613,1
27YAG8,The bright and lively paint on the town murals was now faded and peeling off,2,gpt-4-0613,1
28GO5B,"A friend constantly makes sarcastic remarks, even when it's inappropriate",1,gpt-3.5-turbo,1
28ZGY5,A wallet is found inside a flower vase.,0,gpt-4-0613,0.7
2A9DT4,A water bottle is lying in the mailbox,0,gpt-4-0613,0.7
2ASR85,A friend always borrows things and never returns them,1,gpt-3.5-turbo,1
2HJ1R6,The dog that always barked at strangers wagged its tail instead,2,gpt-4-0613,1
2J96KP,A teapot is found in the tool shed,0,gpt-4-0613,0.7
2L6OM4,A person consistently ignores others' personal boundaries and invades their personal space,1,gpt-3.5-turbo,1
